Time	LH_AnkleZ	LH_HipZ	LH_Knee	
0.0207	-0.3737752	-0.5958671	-0.1814555	
0.02075	-0.3743821	-0.5966026	-0.1818445	
0.0208	-0.3749882	-0.5973357	-0.1822331	
0.02085	-0.3755936	-0.5980664	-0.1826215	
0.0209	-0.3761982	-0.5987947	-0.1830096	
0.02095	-0.3768021	-0.5995206	-0.1833974	
0.021	-0.3774052	-0.6002442	-0.1837849	
0.02105	-0.3780076	-0.6009654	-0.1841722	
0.0211	-0.3786092	-0.6016842	-0.1845592	
0.02115	-0.3792101	-0.6024007	-0.184946	
0.0212	-0.3798103	-0.6031147	-0.1853324	
0.02125	-0.3804097	-0.6038265	-0.1857186	
0.0213	-0.3810084	-0.6045358	-0.1861045	
0.02135	-0.3816064	-0.6052429	-0.1864902	
0.0214	-0.3822037	-0.6059476	-0.1868755	
0.02145	-0.3828003	-0.6066499	-0.1872606	
0.0215	-0.3833961	-0.60735	-0.1876455	
0.02155	-0.3839912	-0.6080477	-0.18803	
0.0216	-0.3845856	-0.6087431	-0.1884143	
0.02165	-0.3851794	-0.6094362	-0.1887983	
0.0217	-0.3857724	-0.610127	-0.1891821	
0.02175	-0.3863647	-0.6108154	-0.1895656	
0.0218	-0.3869563	-0.6115016	-0.1899488	
0.02185	-0.3875473	-0.6121855	-0.1903317	
0.0219	-0.3881375	-0.6128671	-0.1907144	
0.02195	-0.388727	-0.6135463	-0.1910968	
0.022	-0.3893159	-0.6142234	-0.191479	
0.02205	-0.3899041	-0.6148981	-0.1918608	
0.0221	-0.3904916	-0.6155705	-0.1922424	
0.02215	-0.3910784	-0.6162407	-0.1926237	
0.0222	-0.3916646	-0.6169087	-0.1930048	
0.02225	-0.3922501	-0.6175744	-0.1933856	
0.0223	-0.392835	-0.6182378	-0.1937662	
0.02235	-0.3934191	-0.618899	-0.1941464	
0.0224	-0.3940026	-0.6195579	-0.1945264	
0.02245	-0.3945855	-0.6202146	-0.1949061	
0.0225	-0.3951677	-0.620869	-0.1952856	
0.02255	-0.3957493	-0.6215213	-0.1956648	
0.0226	-0.3963302	-0.6221713	-0.1960438	
0.02265	-0.3969104	-0.6228191	-0.1964224	
0.0227	-0.3974901	-0.6234646	-0.1968008	
0.02275	-0.3980691	-0.624108	-0.197179	
0.0228	-0.3986474	-0.6247491	-0.1975568	
0.02285	-0.3992251	-0.6253881	-0.1979344	
0.0229	-0.3998022	-0.6260248	-0.1983118	
0.02295	-0.4003786	-0.6266594	-0.1986889	
0.023	-0.4009545	-0.6272917	-0.1990657	
0.02305	-0.4015297	-0.6279219	-0.1994422	
0.0231	-0.4021043	-0.6285499	-0.1998185	
0.02315	-0.4026783	-0.6291757	-0.2001945	
0.0232	-0.4032516	-0.6297994	-0.2005703	
0.02325	-0.4038244	-0.6304209	-0.2009458	
0.0233	-0.4043965	-0.6310402	-0.201321	
0.02335	-0.404968	-0.6316574	-0.2016959	
0.0234	-0.4055389	-0.6322724	-0.2020707	
0.02345	-0.4061093	-0.6328852	-0.2024451	
0.0235	-0.406679	-0.6334959	-0.2028193	
0.02355	-0.4072481	-0.6341045	-0.2031932	
0.0236	-0.4078166	-0.634711	-0.2035668	
0.02365	-0.4083846	-0.6353152	-0.2039402	
0.0237	-0.408952	-0.6359174	-0.2043133	
0.02375	-0.4095187	-0.6365175	-0.2046862	
0.0238	-0.4100849	-0.6371154	-0.2050588	
0.02385	-0.4106506	-0.6377112	-0.2054311	
0.0239	-0.4112156	-0.6383049	-0.2058032	
0.02395	-0.41178	-0.6388965	-0.206175	
0.024	-0.4123439	-0.639486	-0.2065465	
0.02405	-0.4129072	-0.6400734	-0.2069178	
0.0241	-0.41347	-0.6406587	-0.2072888	
0.02415	-0.4140322	-0.641242	-0.2076596	
0.0242	-0.4145938	-0.6418231	-0.2080301	
0.02425	-0.4151548	-0.6424021	-0.2084003	
0.0243	-0.4157153	-0.6429791	-0.2087702	
0.02435	-0.4162753	-0.643554	-0.20914	
0.0244	-0.4168347	-0.6441268	-0.2095094	
0.02445	-0.4173935	-0.6446976	-0.2098786	
0.0245	-0.4179518	-0.6452663	-0.2102475	
0.02455	-0.4185095	-0.645833	-0.2106162	
0.0246	-0.4190667	-0.6463975	-0.2109846	
0.02465	-0.4196233	-0.6469601	-0.2113527	
0.0247	-0.4201795	-0.6475206	-0.2117206	
0.02475	-0.420735	-0.648079	-0.2120882	
0.0248	-0.4212901	-0.6486354	-0.2124555	
0.02485	-0.4218446	-0.6491898	-0.2128226	
0.0249	-0.4223986	-0.6497422	-0.2131895	
0.02495	-0.422952	-0.6502926	-0.213556	
0.025	-0.4235049	-0.6508409	-0.2139223	
0.02505	-0.4240573	-0.6513872	-0.2142884	
0.0251	-0.4246092	-0.6519315	-0.2146541	
0.02515	-0.4251606	-0.6524737	-0.2150197	
0.0252	-0.4257114	-0.653014	-0.2153849	
0.02525	-0.4262617	-0.6535523	-0.2157499	
0.0253	-0.4268115	-0.6540886	-0.2161146	
0.02535	-0.4273608	-0.6546229	-0.2164791	
0.0254	-0.4279096	-0.6551552	-0.2168433	
0.02545	-0.4284579	-0.6556855	-0.2172073	
0.0255	-0.4290057	-0.6562138	-0.217571	
0.02555	-0.4295529	-0.6567401	-0.2179344	
0.0256	-0.4300997	-0.6572645	-0.2182975	
0.02565	-0.430646	-0.657787	-0.2186604	
0.0257	-0.4311917	-0.6583074	-0.2190231	
0.02575	-0.431737	-0.6588259	-0.2193855	
0.0258	-0.4322818	-0.6593424	-0.2197476	
